4f8e5b81e80eb0e420091588 2 1----Employment----TITLE.HEAD.HTML.#document	ratemyprofessorscom:1 univers:1 california:1 satish:1 rao:1 berkelei:1	||	Satish Rao - University of California Berkeley - RateMyProfessors.com	##true@@false$$		||	ORGANIZATION: University of California Berkeley; 	LOCATION: RateMyProfessors.com; 	NOUN: Satish Rao; University; California Berkeley; RateMyProfessors.com; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 22----Others----#text.H3.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	profil:1	||	Profile	##true@@false$$		||	NOUN: Profile; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 23----Bio----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	phd:1 dollimor:1 servic:1 distribut:6 middlewar:4 doctor:1 confer:2 univers:2 interest:1 relat:1 train:1 chief:1 usenix:1 director:1 trom:1 digit:1 editor:1 system:6 appli:1 co:2 environment:1 program:1 pc:1 professor:2 economi:1 highwir:1 comput:2 commun:1 internet:1 committe:1 adjunct:1 cross:1 perspect:1 centr:1 concept:1 gordon:1 model:1 seri:1 paper:1 engin:1 adapt:2 applic:2 journal:1 disciplinari:1 author:1 driven:1 current:1 ifip:1 contemporari:1 publish:2 innov:1 major:1 norwai:1 scienc:1 includ:3 acm:1 lancast:1 edit:1 highli:1 blair:2 research:1 technolog:1 coulouri:1 techniqu:1 field:1 chair:1 school:1 kindberg:1 architectur:1 take:1 steer:1 book:1 intern:1 cloud:1 success:1 design:1 reflect:1	||	Gordon Blair is a Professor of Distributed Systems in the School of Computing and Communications at Lancaster University and is also an Adjunct Professor at the University of Troms in Norway. He has published over 280 papers in his field and is on the PCs of many major international conferences in middleware and distributed systems. He is also chair of the steering committee of the ACM/ IFIP/ Usenix Middleware series of conferences. His current research interests include distributed systems architecture, middleware (including reflective and adaptive middleware), model-driven engineering techniques applied to adaptive distributed systems, and the applicability of contemporary distributed systems technologies (including cloud computing) to environmental science. He is co-author of the highly successful book Distributed Systems: Concepts and Design by Coulouris, Dollimore, Kindberg and Blair with the 5th edition published in 2011. He is also Director of the HighWire Centre for Doctoral Training, a PhD programe taking a cross-disciplinary perspective on innovation as it relates to the digital economy, and is co-editor in chief of Springer's Journal of Internet Services and Applications.	##false@@false$$		||	ORGANIZATION: School of Computing and Communications; Lancaster University; University of Troms; Usenix Middleware; Journal of Internet Services; 	PERSON: Gordon Blair; Coulouris; Dollimore; Kindberg; Blair; Springer; 	DATE: 2011; 	LOCATION: Norway; 	NOUN: Gordon Blair; Professor; Systems; School; Computing; Communications; Lancaster University; Adjunct Professor; University; Troms; Norway; papers; field; PCs; conferences; middleware; systems; chair; committee; ACM; IFIP; Usenix Middleware series; conferences; research interests; systems architecture; middleware; middleware; engineering techniques; systems; applicability; systems technologies; cloud computing; science; co-author; book; Systems; Concepts; Design; Coulouris; Dollimore; Kindberg; Blair; edition; Director; HighWire Centre; Doctoral Training; PhD programe; perspective; innovation; economy; co-editor; chief; Springer; Journal; Internet Services; Applications; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 24----Others----#text.H3.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	current:1 teach:1	||	Current Teaching	##true@@false$$		||	NOUN: Teaching; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 25----Others----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	undergradu:1 system:1 csc:1 distribut:1	||	CSc 253: Distributed Systems (Undergraduate)	##false@@false$$		||	NOUN: CSc; Systems; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 26----Others----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	system:1 advanc:1 distribut:1 csm:1 master:1	||	CSM 02: Advanced Distributed Systems (Masters)	##false@@false$$		||	ORGANIZATION: CSM; 	NOUN: CSM; Advanced; Systems; Masters; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 27----Others----#text.SPAN.A.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	show:2	||	Show more...	##false@@true$$	Show less	##false@@true$$		||	NOUN: Show; Show; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 28----Research----#text.SPAN.A.H2.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	select:1 output:1 public:1 research:1	||	Selected Publications and Research Outputs	##false@@true$$		||	ORGANIZATION: Selected Publications and Research Outputs; 	NOUN: Publications; Research Outputs; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 29----Others----#text.SPAN.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	publish:1	||	Published	##false@@false$$		||		||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 30----Research----#text.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	complex:1 springer:1 georganta:1 ontolog:1 kermarrec:1 distribut:1 lisbon:1 middlewar:3 ed:1 confer:1 kon:1 proceed:1 role:1 ifip:1 ramdhani:1 decemb:1 scienc:1 note:1 interoper:1 issarni:1 support:1 acm:1 usenix:1 blair:1 verlag:1 grace:1 system:1 bennaceur:1 paolucci:1 portug:1 emerg:1 intern:1 comput:1 lectur:1 berlin:1 nundlol:1	||	The Role of Ontologies in Emergent Middleware: Supporting Interoperability in Complex Distributed Systems	##false@@true$$	Blair, G.	##false@@true$$	, Bennaceur, A., Georgantas, N.,	##false@@false$$	Grace, P.	##false@@true$$	, Issarny, V.,	##false@@false$$	Nundloll-Ramdhany, V.	##false@@true$$	& Paolucci, M.	##false@@false$$	12/2011	##false@@false$$	Middleware 2011 ACM/IFIP/USENIX 12th International Middleware Conference, Lisbon, Portugal, December 12-16, 2011. Proceedings.	##true@@false$$	Kon, F. & Kermarrec, A-M. (eds.). Berlin:	##false@@false$$	Springer Verlag	##false@@false$$	p. 410-430	##false@@false$$	21 p.	##false@@false$$	(Lecture Notes in Computer Science).	##false@@false$$		||	ORGANIZATION: V. & Paolucci; F. & Kermarrec; Computer Science; 	PERSON: Blair; Bennaceur; Georgantas; Springer Verlag; 	DATE: 2011; 2011; 	LOCATION: Lisbon; Portugal; Berlin; 	NOUN: Role; Ontologies; Emergent Middleware; Interoperability; Complex; Systems Blair; G.; Bennaceur; A.; Georgantas; N.; Grace; P.; Issarny; V.; Nundloll-Ramdhany; V.; Paolucci; M.; Middleware; ACM\/IFIP\/USENIX; International Middleware Conference; Lisbon; Portugal; December; Proceedings; Kon; F.; Kermarrec; A-M; eds; Berlin; Springer Verlag p.; p.; Lecture Notes; Computer Science; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 31----Others----#text.SPAN.P.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	contribut:1 paper:1 proceed:1 report:1 book:1 output:1 research:1	||	Research output	##false@@false$$	Contribution in Book/Report/Proceedings	##false@@false$$	Paper	##false@@false$$		||	NOUN: Research output Contribution; Book\/Report\/Proceedings Paper; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 32----Others----#text.SPAN.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	publish:1	||	Published	##false@@false$$		||		||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 33----Research----#text.SPAN.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	acm:2 overlai:1 sigop:1 porter:1 blair:1 coulson:1 middlewar:1 network:1 confer:1 grace:1 open:1 taiani:1 system:1 european:1 heterogen:1 hugh:1 experi:1 proceed:1 comput:1 approach:1 york:1 eurosi:2	||	Experiences with open overlays: a middleware approach to network heterogeneity	##false@@true$$	Grace, P.	##false@@true$$	, Hughes, D.,	##false@@false$$	Porter, B.	##false@@true$$	Blair, G. S.	##false@@true$$	Coulson, G.	##false@@true$$	Taiani, F.	##false@@true$$	2008	##false@@false$$	Eurosys '08 Proceedings of the 3rd ACM SIGOPS/EuroSys European Conference on Computer Systems 2008.	##true@@false$$	New York:	##false@@false$$	ACM	##false@@false$$	p. 123-136	##false@@false$$	14 p.	##false@@false$$		||	PERSON: Hughes; Porter; B. Blair; G. S. Coulson; G. Taiani; 	DATE: 2008; 2008; 	LOCATION: New York; 	NOUN: Experiences; overlays; approach; network heterogeneity Grace; P.; Hughes; D.; Porter; B. Blair; G. S. Coulson; G. Taiani; F.; Eurosys; Proceedings; ACM SIGOPS\/EuroSys; Conference; Computer Systems; New York; ACM p.; p.; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 34----Others----#text.SPAN.P.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	contribut:1 paper:1 proceed:1 report:1 book:1 output:1 research:1	||	Research output	##false@@false$$	Contribution in Book/Report/Proceedings	##false@@false$$	Paper	##false@@false$$		||	NOUN: Research output Contribution; Book\/Report\/Proceedings Paper; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 35----Others----#text.SPAN.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	publish:1	||	Published	##false@@false$$		||		||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 36----Research----#text.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	softwar:1 model:1 toc:1 acm:2 gener:1 build:1 coulson:1 blair:1 grace:1 taiani:1 ueyama:1 system:2 lee:1 transact:1 compon:1 sivaharan:1 comput:1 joolia:1	||	A generic component model for building systems software	##false@@true$$	Coulson, G.	##false@@true$$	Blair, G.	##false@@true$$	Grace, P.	##false@@true$$	Taiani, F.	##false@@true$$	, Joolia, A., Lee, K., Ueyama, J. & Sivaharan, T.	##false@@false$$	02/2008	##false@@false$$	In :	##false@@false$$	ACM Transactions on Computer Systems (ACM TOCS)	##false@@false$$	26	##false@@false$$	p. 1-42	##false@@false$$	43 p.	##false@@false$$	, 1	##false@@false$$		||	ORGANIZATION: J. & Sivaharan; Computer Systems; TOCS; 	PERSON: Coulson; G. Blair; G. Grace; P. Taiani; Joolia; Lee; Ueyama; 	NOUN: component model; building systems software Coulson; G. Blair; G. Grace; P. Taiani; F.; Joolia; A.; Lee; K.; Ueyama; J.; Sivaharan; T.; ACM Transactions; Computer Systems; ACM TOCS; p.; p.; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 37----Others----#text.SPAN.P.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	journal:2 contribut:1 articl:1 output:1 research:1	||	Research output	##false@@false$$	Contribution to journal	##false@@false$$	Journal article	##false@@false$$		||	NOUN: Research output Contribution; journal Journal article; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 38----Others----#text.SPAN.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	publish:1	||	Published	##false@@false$$		||		||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 39----Others----#text.SPAN.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	acm:1 kon:1 campbel:1 commun:1 costa:1 case:1 blair:1 middlewar:1 reflect:1	||	The Case for Reflective Middleware.	##false@@true$$	Blair, G. S.	##false@@true$$	, Campbell, R. H., Costa, F. & Kon, F.	##false@@false$$	1/06/2002	##false@@false$$	In :	##false@@false$$	Communications of the ACM	##false@@false$$	45	##false@@false$$	p. 33-38	##false@@false$$	6 p.	##false@@false$$		||	ORGANIZATION: Campbell; F. & Kon; 	PERSON: Blair; G. S.; R. H.; 	LOCATION: Costa; 	NOUN: Case; Reflective Middleware; Blair; G. S.; Campbell; R. H.; Costa; F.; Kon; F.; Communications; ACM; p.; p.; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 2 40----Others----#text.SPAN.P.DIV.LI.UL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	journal:2 contribut:1 articl:1 output:1 research:1	||	Research output	##false@@false$$	Contribution to journal	##false@@false$$	Journal article	##false@@false$$		||	NOUN: Research output Contribution; journal Journal article; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 1----Employment----TITLE.HEAD.HTML.#document	gordon:1 professor:1 blair:1	||	Gordon S. Blair - professor	##true@@false$$		||	PERSON: Gordon S. Blair; 	NOUN: Gordon S. Blair; professor; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 2----Employment----#text.DD.DL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	professor:1	||	professor	##false@@false$$		||	NOUN: professor; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 3----Employment----#text.DD.DL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	univers:1 lancast:1 depart:1 drive:1 south:1 comput:1	||	Computing Department InfoLab21 South Drive Lancaster University	##false@@false$$		||	ORGANIZATION: Computing Department InfoLab21 South Drive Lancaster University; 	NOUN: Computing Department InfoLab21 South Drive Lancaster University; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 4----Address----#text.DD.DL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	uk:1 univers:1 lancast:2 depart:1 drive:1 south:1 comput:1 room:1	||	Computing Department InfoLab21 South Drive Lancaster University Lancaster, UK LA1 4WA Room: C15	##false@@false$$		||	ORGANIZATION: Computing Department InfoLab21 South Drive Lancaster University Lancaster; 	LOCATION: UK; 	NOUN: Computing Department InfoLab21 South Drive Lancaster University Lancaster; UK LA1 4WA Room; C15; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 7----Others----#text.DIV.DIV.DIV.DIV.DIV.DD.DL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	load:1	||	Loading...	##false@@false$$		||		||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 8----Others----#text.A.DD.DL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	edit:1 profil:1	||	EDIT PROFILE	##false@@true$$		||	NOUN: EDIT PROFILE; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 9----Others----#text.LABEL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	share:1	||	Share to:	##false@@false$$		||	NOUN: Share; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 10----Others----#text.SMALL.H2.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	inform:1 bio:2 click:1 add:1	||	Bio	##true@@false$$	Click	##false@@false$$	Here	##true@@true$$	to add Bio information.	##false@@false$$		||	NOUN: Bio Click; Bio information; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 11----Others----#text.SMALL.H2.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	inform:1 click:1 educ:2 add:1	||	Education	##true@@false$$	Click	##false@@false$$	Here	##true@@true$$	to add Education information.	##false@@false$$		||	NOUN: Education Click; Education information; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 12----Others----#text.H2.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	interest:1 research:1	||	Research Interest	##true@@false$$		||	ORGANIZATION: Research Interest; 	NOUN: Research Interest; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 13----Others----#text.A.SMALL.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	interest:1 edit:1 grid:1 adapt:1 middlewar:3 reflect:1	||	Reflective Middleware	##false@@false$$	Grid Middleware	##false@@false$$	Adaptive Middleware	##false@@false$$	EDIT INTEREST	##false@@true$$		||	NOUN: Middleware Grid Middleware Adaptive Middleware EDIT INTEREST; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 0 14----Others----#text.A.H2.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	tempor:1 interest:2 show:1 chang:1 research:1 want:1	||	Show Temporal Interests (Do you want to see the change of his/her research interests?)	##false@@true$$		||	NOUN: Show; Interests; change; his\/her research interests; 	||	##true@@false$$	||	##false@@false$$
4f8e5b82e80eb0e4c1091588 1 1----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	virtual:1 environment:1 experi:1 cloud:1 observatori:1 us:1 construct:1 hybrid:1	||	"Experiences of Using a Hybrid Cloud to Construct an Environmental Virtual Observatory"	##false@@false$$		||	NOUN: Experiences; Hybrid Cloud; Observatory; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 2----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	surajbali:1 gordon:1 elkhatib:1 yehia:1 bholanathsingh:1 blair:1	||	Yehia Elkhatib	##true@@false$$	, Gordon S. Blair and Bholanathsingh Surajbali	##false@@false$$		||	PERSON: Yehia Elkhatib; Gordon S. Blair; Bholanathsingh Surajbali; 	NOUN: Yehia Elkhatib; Gordon S. Blair; Bholanathsingh Surajbali; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 3----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	platform:1 workshop:2 april:1 czech:1 pragu:1 data:1 proceed:1 cloud:1 republ:1 third:1 eurosi:1	||	In Proceedings of	##false@@false$$	the Third Workshop on Cloud Data and Platforms	##false@@true$$	(a	##false@@false$$	EuroSys 2013	##false@@true$$	workshop), Prague, Czech Republic, April 14 2013.	##false@@false$$		||	ORGANIZATION: Cloud Data and Platforms; 	DATE: 2013; 2013; 	LOCATION: Prague; Czech Republic; 	NOUN: Proceedings; Third Workshop; Cloud Data; Platforms; EuroSys; workshop; Prague; Czech Republic; April; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 5----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	virtual:1 environment:1 infrastructur:1 cloud:1 observatori:1 build:1	||	"Building a Cloud Infrastructure for a Virtual Environmental Observatory"	##false@@false$$		||	NOUN: Building; Cloud Infrastructure; Virtual Environmental Observatory; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 6----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	gordon:1 gemmel:1 gurnei:1 elkhatib:1 yehia:1 blair:1 robert:1 alastair:1	||	Yehia Elkhatib	##true@@false$$	, Gordon S. Blair, Alastair Gemmell and Robert J. Gurney	##false@@false$$		||	PERSON: Yehia Elkhatib; Gordon S. Blair; Alastair Gemmell; Robert J. Gurney; 	NOUN: Yehia Elkhatib; Gordon S. Blair; Alastair Gemmell; Robert J. Gurney; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 7----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	present:1 san:1 american:1 fall:1 union:1 poster:1 francisco:1 agu:1 geophys:1 meet:1 decemb:1 usa:1	||	Poster presented at	##false@@false$$	the American Geophysical Union (AGU)	##false@@true$$	Fall Meeting	##false@@true$$	, San Francisco, USA, December 3-7 2012.	##false@@false$$		||	ORGANIZATION: American Geophysical Union; 	DATE: 2012; 	LOCATION: San Francisco; USA; 	NOUN: Poster; Geophysical Union; AGU; Fall; San Francisco; USA; December; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 9----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	virtual:1 environment:1 disciplin:1 comput:1 cloud:1 evo:1 us:1 bridg:1 observatori:1	||	"EVO: A Virtual Observatory to Bridge Environmental Disciplines Using Cloud Computing"	##false@@false$$		||	NOUN: EVO; A Virtual Observatory; Bridge Environmental Disciplines; Cloud Computing; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 10----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	ree:1 gordon:1 gemmel:1 gurnei:1 elkhatib:1 john:1 watkin:1 gwyn:1 yehia:1 blair:1 robert:1 alastair:1	||	Yehia Elkhatib	##true@@false$$	, Gordon S. Blair, Alastair Gemmell, Robert J. Gurney, John W. Watkins and Gwyn Rees	##false@@false$$		||	PERSON: Yehia Elkhatib; Gordon S. Blair; Alastair Gemmell; Robert J. Gurney; John W. Watkins; Gwyn Rees; 	NOUN: Yehia Elkhatib; Gordon S. Blair; Alastair Gemmell; Robert J. Gurney; John W. Watkins; Gwyn Rees; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 11----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	hong:1 georg:1 press:1 houston:1 jihua:1 sorial:1 usa:1 technolog:1 ed:1 confer:1 present:1 ic:1 environment:1 texa:1 american:1 isbn:1 sixth:1 poster:1 intern:1 volum:1 scienc:2	||	Poster presented at the	##false@@false$$	The Sixth International Conference on Environmental Science and Technology (IC EST2012)	##false@@true$$	Volume 2	##false@@true$$	. George Sorial and Jihua Hong, eds. American Science Press, Houston, Texas, USA, p. 414, 2012. ISBN: 9780976885344.	##false@@false$$		||	ORGANIZATION: Sixth International Conference on Environmental Science and Technology; American Science Press; 	PERSON: George Sorial; Jihua Hong; 	DATE: 2012; 	LOCATION: Houston; Texas; USA; 	NOUN: Poster; The Sixth International Conference; Environmental Science; Technology; IC EST2012; Volume; George Sorial; Jihua Hong; eds; Science Press; Houston; Texas; USA; p.; ISBN; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 13----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	abstract:1 virtual:1 environment:1 extend:1 base:1 cloud:1 observatori:1 scienc:1	||	"A Cloud-based Virtual Observatory for Environmental Science"	##false@@false$$	(extended abstract)	##false@@false$$		||	NOUN: Virtual Observatory; Environmental Science; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 14----Research----#text.B.TD.TR.TBODY.TABLE.BODY.HTML.#document	gordon:1 elkhatib:1 yehia:1 blair:1	||	Gordon S. Blair and	##false@@false$$	Yehia Elkhatib	##true@@false$$		||	PERSON: Gordon S. Blair; Yehia Elkhatib; 	NOUN: Gordon S. Blair; Yehia Elkhatib; 	||	##false@@true$$	||	##true@@true$$
4f8e5b82e80eb0e4c1091588 1 15----Research----#text.TD.TR.TBODY.TABLE.BODY.HTML.#document	netherland:1 april:1 openwat:1 proceed:1 symposium:1 delft:1	||	In Proceedings of	##false@@false$$	the OpenWater Symposium	##false@@true$$	, Delft, The Netherlands, April 19 2011.	##false@@false$$		||	DATE: 2011; 	LOCATION: Delft; The Netherlands; 	NOUN: Proceedings; OpenWater Symposium; Delft; Netherlands; April; 	||	##false@@true$$	||	##true@@true$$
4f8e5b51e80eb0e4c5ed1488 2 1----Others----TITLE.HEAD.HTML.#document	page:1 komatani:1	||	Komatani Kazunori's Page	##true@@false$$		||	PERSON: Kazunori; 	NOUN: Komatani Kazunori; Page; 	||	##true@@false$$	||	##false@@false$$
4f8e5b51e80eb0e4c5ed1488 2 2----Others----#text.LI.UL.BODY.HTML.#document	contact:1	||	Contact	##false@@false$$		||	NOUN: Contact; 	||	##true@@false$$	||	##false@@false$$
4f8e5b51e80eb0e4c5ed1488 2 3----Address----#text.LI.UL.LI.UL.BODY.HTML.#document	japan:1 address:1 ku:1 cho:1 furo:1 chikusa:1 nagoya:1	||	Address: C3-1 (631), Furo-cho, Chikusa-ku, Nagoya 464-8603, Japan	##false@@false$$		||	LOCATION: Nagoya; Japan; 	NOUN: Address; C3-1; Furo-cho; Chikusa-ku; Nagoya; Japan; 	||	##true@@false$$	||	##false@@false$$
4f8e5b51e80eb0e4c5ed1488 2 4----Email----#text.LI.UL.LI.UL.BODY.HTML.#document	mail:1 nueenagoya:1 komatani:1 uacjp:1	||	E-mail: komatani  nuee.nagoya-u.ac.jp	##false@@false$$		||	NOUN: E-mail; komatani nuee.nagoya-u; ac; jp; 	||	##true@@false$$	||	##false@@false$$
4f8e5b51e80eb0e4c5ed1488 2 5----Fax----#text.SMALL.LI.UL.LI.UL.BODY.HTML.#document	mail:1 pleas:1 fax:1 tel:1 number:1 ask:1	||	TEL/FAX:	##false@@false$$	(Please ask the number by e-mail.)	##false@@false$$		||	NOUN: TEL\/FAX; number; 	||	##true@@false$$	||	##false@@false$$
4f8e5b51e80eb0e4c5ed1488 2 6----Others----#text.SMALL.LI.UL.BODY.HTML.#document	updat:1 list:1 public:1	||	List of Publications	##false@@true$$	(2013/03/26 update)	##false@@false$$		||	NOUN: List; Publications; 	||	##true@@false$$	||	##false@@false$$
4f8e5b51e80eb0e4c5ed1488 2 7----Others----#text.LI.UL.BODY.HTML.#document	educ:1	||	Education:	##false@@false$$		||	NOUN: Education; 	||	##true@@false$$	||	##false@@false$$
4f8e5b51e80eb0e4c5ed1488 2 8----Education----#text.LI.UL.LI.UL.BODY.HTML.#document	informat:1 phd:1 novemb:1 doctor:1	||	Ph.D (Doctor of Informatics) / November 2002	##false@@false$$		||	ORGANIZATION: Doctor of Informatics; 	DATE: 2002; 	NOUN: Ph. D; Doctor; Informatics; November; 	||	##true@@false$$	||	##false@@false$$
4f8e5b51e80eb0e4c5ed1488 2 9----Education----#text.A.LI.UL.LI.UL.BODY.HTML.#document	informat:1 school:1 univers:1 depart:1 kyoto:1 intellig:1 graduat:1 technolog:1 scienc:1	||	Department of Intelligence Science and Technology	##false@@true$$	Graduate School of Informatics	##false@@true$$	Kyoto University	##false@@true$$		||	ORGANIZATION: Department of Intelligence Science and Technology Graduate School of Informatics Kyoto University; 	NOUN: Department; Intelligence Science; Technology Graduate School; Informatics Kyoto University; 	||	##true@@false$$	||	##false@@false$$
4f8e5b51e80eb0e4c5ed1488 2 10----Education----#text.LI.UL.LI.UL.BODY.HTML.#document	march:1 informat:1 master:1	||	Master of Informatics / March 2000	##false@@false$$		||	DATE: 2000; 	NOUN: Master; Informatics; March; 	||	##true@@false$$	||	##false@@false$$
4f8e5b51e80eb0e4c5ed1488 2 11----Education----#text.A.LI.UL.LI.UL.BODY.HTML.#document	informat:1 school:1 univers:1 depart:1 kyoto:1 intellig:1 graduat:1 technolog:1 scienc:1	||	Department of Intelligence Science and Technology	##false@@true$$	Graduate School of Informatics	##false@@true$$	Kyoto University	##false@@true$$		||	ORGANIZATION: Department of Intelligence Science and Technology Graduate School of Informatics Kyoto University; 	NOUN: Department; Intelligence Science; Technology Graduate School; Informatics Kyoto University; 	||	##true@@false$$	||	##false@@false$$
