-1763063096 2 1----Price----#text.P.ARTICLE.DIV.DIV.DIV.BODY.HTML.#document	increas:1 car:2 hp:1 pair:1 xl:2 camri:2 automat:1 transmiss:1 toyota:1 version:1 six:1 mode:1 level:1 order:1 basic:1 full:1 graduat:1 luxuri:1 trim:1 avalon:3 lineup:1 limit:1 liter:1 consist:1 speed:1 choic:1 list:1 us:1 offer:1 size:1 manual:1 powertrain:1 price:1 fact:1 stretch:1 previou:1 shift:1	||	Toyota s Avalon is a full-size car for those who have graduated from the Camry. In fact, the Avalon is basically a stretched version of the previous Camry and uses that car s 268-hp, 3.5-liter V-6 paired with a six-speed automatic transmission with manual shift mode. No other powertrain choices are offered. For 2009, the Avalon lineup consists of three trim levels: XL, XLS, and Limited, listed in order of increasing luxury and price.	##false@@false$$		||	ORGANIZATION: Toyota; Avalon; XLS; 	DATE: 2009; 	NOUN: Toyota; Avalon; car; Camry; fact; Avalon; version; Camry; car s; V-6; transmission; shift mode; powertrain choices; Avalon lineup; levels; XL; XLS; Limited; order; luxury; price; 	||	##true@@false$$	||	##false@@false$$
1701897961 5 19----Interior----#text.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.SECTION.DIV.DIV.BODY.HTML.#document	decent:1 leg:1 roam:1 tad:1 smaller:1 much:1 size:1 room:1	||	much room for your legs to roam, still decently size but just at tad smaller.	##false@@false$$		||	NOUN: room; legs; size; tad; 	||	##true@@false$$	||	##false@@false$$
1701897961 5 20----Interior----#text.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.SECTION.DIV.DIV.BODY.HTML.#document	galant:1 backseat:1 competitor:1 fold:1	||	The Galant does not have a folding backseat like many of its competitors, but it does	##false@@false$$		||	NOUN: Galant; backseat; competitors; 	||	##true@@false$$	||	##false@@false$$
1701897961 5 21----Interior----#text.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.SECTION.DIV.DIV.BODY.HTML.#document	need:1 trunk:1 passthrough:1 item:1 longer:1 carri:1 want:1	||	have a passthrough to the trunk so if you have longer items you want to carry that need to	##false@@false$$		||	NOUN: passthrough; trunk; items; need; 	||	##true@@false$$	||	##false@@false$$
1701897961 5 22----Interior----#text.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.SECTION.DIV.DIV.BODY.HTML.#document	cabin:1 trunk:1 can:1 extend:1 cubic:1 feet:1 measur:1 self:1	||	extend the cabin you can do that. The trunk is self measures 13.3 cubic feet and it has a	##false@@false$$		||	NOUN: cabin; trunk; self measures; feet; 	||	##true@@false$$	||	##false@@false$$
1701897961 5 23----Interior----#text.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.SECTION.DIV.DIV.BODY.HTML.#document	open:1 player:1 luggag:1 dvd:1 larg:1 load:1 issu:1 fairli:1	||	fairly large opening for loading luggage into it. The only issue is that the DVD player for	##false@@false$$		||	ORGANIZATION: DVD; 	NOUN: opening; luggage; issue; DVD player; 	||	##true@@false$$	||	##false@@false$$
1701897961 5 24----Interior----#text.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.SECTION.DIV.DIV.BODY.HTML.#document	system:1 trunk:1 hang:1 navig:1	||	the navigation system hangs down under the trunk and could get in the way of some	##false@@false$$		||	NOUN: navigation system; trunk; way; 	||	##true@@false$$	||	##false@@false$$
1701897961 5 25----DriveRide----#text.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.SECTION.DIV.DIV.BODY.HTML.#document	galant:1 term:1 drive:1 whole:1 hold:1 item:1 competit:1	||	items. On the whole, the Galant holds up well of the competition in terms of the driving	##false@@false$$		||	NOUN: items; whole; Galant; competition; terms; driving; 	||	##true@@false$$	||	##false@@false$$
1701897961 5 26----Interior----#text.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.SECTION.DIV.DIV.BODY.HTML.#document	short:1 littl:1 interior:1 experi:1 fall:1 come:1 refin:1 offer:1	||	experience it offers. But it falls a little short when it comes to interior refinement and	##false@@false$$		||	NOUN: experience; refinement; 	||	##true@@false$$	||	##false@@false$$
1701897961 10 1----Others----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	car:2 compet:1 relev:1 camri:1 contest:1 midsiz:1 industri:1 toyota:1 function:1 malibu:1 forc:1 find:1 top:1 mitsubishi:1 form:1 entri:1 appar:1 manufactur:1 came:1 accord:1 size:1 sale:1 hotli:1 honda:1 market:1 focu:1 decid:1 chevrolet:1 sedan:1 battl:1 mid:1 automot:1 keep:1 lopsid:1	||	In the automotive industry, midsize sedans are in one of the most hotly contested markets. Having to go up against cars like the	##false@@false$$	Honda Accord	##false@@true$$	Toyota Camry	##false@@true$$	and	##false@@false$$	Chevrolet Malibu	##false@@true$$	, competing manufacturers are forced to find a way to keep their cars relevant in a lopsided battle for top sales. Mitsubishi apparently decided to focus on more function than form when it came to its mid-size entry.	##false@@false$$		||	ORGANIZATION: Honda; Mitsubishi; 	LOCATION: Chevrolet Malibu; 	NOUN: industry; sedans; markets; cars; Honda Accord Toyota Camry; Chevrolet Malibu; manufacturers; way; cars; battle; sales; Mitsubishi; function; form; entry; 	||	##true@@false$$	||	##false@@false$$
1701897961 10 2----DriveRide----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	model:1 store:1 simpl:1 last:1 minor:1 award:1 thank:1 galant:3 level:1 surviv:1 year:2 effici:1 major:1 sure:1 top:1 wrap:1 mitsubishi:2 dream:1 speed:1 redesign:1 true:1 come:2 win:1 offer:1 attract:1 despit:1 tech:1 largest:1 updat:1 sedan:1 comfort:1 ago:1 design:2 go:1 yet:1	||	The	##false@@false$$	2009 Mitsubishi Galant	##false@@true$$	is not going to win any speed awards or be a tech junkie's dream come true, but	##false@@false$$	Mitsubishi	##false@@true$$	made sure its largest sedan offered top levels of comfort and efficiency wrapped in a simple, yet attractive design. Despite the last major redesign coming over five years ago, the Galant has survived this long thanks to a few minor design updates, and more of the same is in store for the Galant for the 2009 model year.	##false@@false$$		||	ORGANIZATION: Mitsubishi Galant; Mitsubishi; 	DATE: 2009; 2009; 	NOUN: Mitsubishi Galant; speed awards; tech junkie; dream; Mitsubishi; sedan; levels; comfort; efficiency; design; redesign; years; Galant; thanks; design updates; store; Galant; model year; 	||	##true@@false$$	||	##false@@false$$
1701897961 10 3----Exterior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	squar:1 lower:1 grill:1 exterior:1 treatment:2 modestli:1 taillight:2 exud:1 spoke:1 notic:1 open:1 scheme:1 dark:1 hyundai:1 sonata:1 inlet:1 light:1 hood:1 option:1 black:1 turn:1 mitsubishi:1 charact:1 paint:1 attract:1 provid:1 alloi:1 maizen:1 updat:1 thick:1 definit:1 air:1 headlamp:1 wheel:1 chrome:1 lexu:1 add:1 quit:1 ho:1 transform:1 fit:1 galant:3 monochromat:1 mimic:2 trim:1 end:1 surprisingli:1 look:1 hum:1 inch:1 larger:1 rear:1 front:1 hous:1 athlet:1 fascia:2 point:1 differ:1 faux:1 posterior:1 blue:1 fog:1 stanc:1 lamp:1 previou:1 decklid:1	||	The most noticeable difference on the 2009 Galant's exterior is the rear end. New taillight, decklid and fascia treatments transform the posterior of the Galant from ho-hum to quite attractive. While some will point out that the lights mimic the	##false@@false$$	Hyundai Sonata	##false@@true$$	(which in turn mimics the Lexus IS), the look definitely fits the	##false@@false$$	Mitsubishi Galant	##false@@true$$	and adds more character than the previous square taillight treatment. Up front, a modestly updated hood and fascia now provide a larger grille opening with thick chrome trim and lower faux air inlets that house the fog lamps. The blacked-out headlamps, optional 17-inch, five-spoke alloy wheels and dark, Maizen Blue monochromatic paint scheme exuded a surprisingly athletic stance for the Galant.	##false@@false$$		||	ORGANIZATION: Hyundai Sonata; Mitsubishi; 	PERSON: Maizen Blue; 	DATE: 2009; 	NOUN: difference; Galant; exterior; end; New taillight; decklid; fascia treatments; posterior; Galant; lights; Hyundai Sonata; turn; Lexus; look; Mitsubishi Galant; character; square taillight treatment; front; hood; fascia; grille opening; air inlets; fog lamps; headlamps; alloy wheels; Maizen Blue; paint scheme; stance; Galant; 	||	##true@@false$$	||	##false@@false$$
1701897961 10 4----Interior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	interior:2 lower:1 bright:1 gaug:1 flow:1 heat:1 center:3 rubberi:1 break:1 upgrad:1 cover:1 help:1 level:1 smudg:1 seat:4 dark:1 black:1 control:1 except:1 smoothli:1 provid:1 prone:1 esqu:1 stack:2 span:1 panel:1 lengthi:1 road:1 upper:1 detract:1 galant:1 easi:1 clean:1 hvac:1 read:1 trip:1 fabric:1 addit:1 silver:1 sport:1 excel:1 front:1 hous:1 instrument:1 soft:1 dash:1 armrest:1 comfort:1 larg:1 featur:1 radio:1 insid:1 insert:1 truli:1 marbl:1	||	Inside is where the 2009 Galant truly excels. In addition to the upgraded sport fabric seats (featuring heated front seats), The black, marble-esque dash inserts were prone to smudging but did not detract from the clean interior. From the driver's seat, three large gauges are easy to read, while the center stack flowed smoothly from the soft, rubbery upper instrument panel covering. The bright silver lower center stack that housed all radio and HVAC controls helped to break up the span of darkness that was the Galant's interior. On lengthy road trips, the seats and center armrest provided exceptional levels of comfort.	##false@@false$$		||	ORGANIZATION: HVAC; 	DATE: 2009; 	NOUN: Galant; addition; sport fabric seats; seats; dash inserts; interior; driver; seat; center; instrument panel; silver; center; radio; HVAC controls; span; darkness; Galant; interior; road trips; seats; center armrest; levels; comfort; 	||	##true@@false$$	||	##false@@false$$
1701897961 10 5----Interior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	interior:1 bench:1 cubic:1 behind:1 rear:2 class:1 feet:1 avail:1 lack:1 offer:1 fold:1 pass:1 requir:1 trunk:1 armrest:1 seat:2 item:1 longer:1 rel:1 capac:1 small:2 major:1 complaint:1	||	The one major complaint about the interior is the lack of a folding rear seat. The Galant's trunk offers a relatively small capacity (13.3 cubic feet) in its class and if longer items are required, all that is available is a small pass-through behind the rear bench seat armrest.	##false@@false$$		||	NOUN: complaint; interior; lack; seat; Galant; trunk; capacity; feet; class; items; bench seat armrest; 	||	##true@@false$$	||	##false@@false$$
1701897961 10 6----DriveRide----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	equip:1 ralliart:1 model:3 wheel:1 test:1 road:1 automat:1 transmiss:2 mode:1 expect:1 cylind:1 almost:1 galant:3 gear:1 downsid:1 power:2 horsepow:1 exist:1 option:2 major:1 liter:1 speed:1 extra:1 edit:2 sport:3 front:1 came:1 lack:1 handl:1 manual:2 featur:1 base:1 es:1 mivec:1 shift:1	||	On the road, the Galant handles about as well as should be expected from an almost-base model. While more powerful V-6 options exist for the Galant, the Sport Edition model we tested came equipped with Mitsubishi's 160-horsepower 2.4-liter MIVEC four cylinder. Another major downside of the 2009 Galant is the lack of a manual transmission option. Powering the front wheels on the ES and Sport Edition is a four-speed automatic, while the Sport V6 and Ralliart models get an extra gear - both transmissions feature a manual shift mode.	##false@@false$$		||	ORGANIZATION: Sport Edition; Mitsubishi; Sport Edition; Ralliart; 	DATE: 2009; 	NOUN: road; Galant; model; V-6 options; Galant; Sport Edition model; Mitsubishi; MIVEC; cylinder; downside; Galant; lack; transmission option; wheels; ES; Sport Edition; Sport V6; Ralliart models; gear; transmissions; shift mode; 	||	##true@@false$$	||	##false@@false$$
1701897961 10 7----Safety----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	model:2 test:1 run:1 highwai:2 protect:1 impact:1 dual:1 airbag:3 insur:1 transport:1 side:3 seat:1 daytim:1 administr:1 institut:1 top:1 safeti:3 includ:1 standard:1 redesign:1 mark:1 front:2 nation:1 curtain:1 roof:1 gave:1 mount:2 advanc:1 lamp:1 featur:1 yet:1	||	The redesigned 2009 model has yet to be tested by the National Highway Transportation Safety Administration or the Insurance Institute for Highway Safety, but both gave the 2008 model top marks in both front- and side-impact protection. Standard safety features include advanced dual airbags, seat-mounted front side airbags, roof-mounted side-curtain airbags and daytime running lamps.	##false@@false$$		||	ORGANIZATION: National Highway Transportation Safety Administration; Insurance Institute for Highway Safety; 	DATE: 2009; 2008; 	NOUN: model; National Highway Transportation Safety Administration; Insurance Institute; Highway Safety; model; marks; front; protection; safety features; airbags; side airbags; airbags; lamps; 	||	##true@@false$$	||	##false@@false$$
1701897961 10 8----Price----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	mitsubishi:1 model:1 standard:1 test:2 sweeter:1 come:1 sport:1 warranti:2 came:1 powertrain:1 galant:2 price:1 deal:1 msrp:1 basic:1 packag:1 mile:2 base:1 year:2 valu:1 latest:1 make:1 option:1	||	For 2009, the Mitsubishi Galant comes with a base MSRP of 21,099. The model we tested came with the optional (1,400) Sport Value Package and an as-tested price of 23,124. Making the deal even sweeter on the latest Galant are the standard five-year/60,000-mile basic warranty and 10-year/100,000-mile powertrain warranty.	##false@@false$$		||	ORGANIZATION: Mitsubishi Galant; 	DATE: 2009; 	NOUN: Mitsubishi Galant; base MSRP; model; Sport Value Package; price; deal; Galant; mile; warranty; mile powertrain warranty; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 1----Others----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	player:1 edg:1 segment:1 camri:1 quick:1 cours:1 midsiz:1 sight:1 galant:1 clayton:1 probabl:1 unless:1 name:1 everyon:1 mind:1 bandmat:1 exist:1 bono:1 mitsubishi:1 famili:1 sadli:1 us:1 accord:1 know:3 fan:1 without:1 adam:2 sedan:1 bass:1 within:1 big:1 googl:1 justif:1 world:1	||	Quick, without using Google, name the bass player in U2. Unless you're a big fan, you probably didn't know it was Adam Clayton. Of course, everyone knows about his bandmates -- Bono and the Edge. Within the midsize family sedan segment, the 2009 Mitsubishi Galant is like Adam, while the Accord and Camry are like, well, you know who. Sadly, in today's world, there is justification for the Galant's "out of sight, out of mind" existence.	##false@@false$$		||	ORGANIZATION: Google; Mitsubishi; 	PERSON: Adam Clayton; Bono; Adam; 	DATE: 2009; 	NOUN: Google; name; bass player; U2; fan; Adam Clayton; course; everyone; bandmates; Bono; Edge; family sedan segment; Mitsubishi Galant; Adam; Accord; Camry; today; world; justification; Galant; sight; mind; existence; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 2----Others----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	garner:1 cabin:1 compet:1 test:1 score:1 lead:1 singer:1 perform:1 good:1 though:1 kei:2 galant:1 innov:1 fairli:1 crash:1 strength:1 certainli:1 mitsu:1 prevent:1 extrovert:1 standout:1 handl:1 adam:1 peppi:1 comfort:1 buddi:1 shortfal:1 guitarist:1 statu:1 spotlight:1 respect:1 yet:1	||	Like our buddy Adam, the Galant is fairly competent at what it does, though it's certainly not a standout like that extroverted singer and innovative lead guitarist. Peppy performance, a comfortable cabin, respectable handling and good crash test scores are all key strengths of this Mitsu, yet a few key shortfalls prevent it from garnering that spotlight status.	##false@@false$$		||	PERSON: Mitsu; 	NOUN: buddy Adam; Galant; standout; singer; lead guitarist; performance; cabin; handling; crash test scores; strengths; Mitsu; shortfalls; spotlight status; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 3----Verdict----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	car:1 might:1 interior:1 furthermor:1 jack:1 plastic:1 boast:1 wheel:1 level:1 galant:1 grade:1 luxuri:1 cheapen:1 auxiliari:1 control:2 audio:1 entri:1 silver:1 avail:1 us:1 paint:1 lack:1 stabil:1 confus:1 term:1 steer:1 featur:1 low:1 competitor:1 telescop:1	||	While a few of its competitors boast interiors that might be confused for those of an entry-level luxury car, the Galant's use of some low-grade plastics and silver painted controls cheapen it. Furthermore, the Galant is lacking in terms of features, as a telescoping steering wheel, an auxiliary audio jack and stability control are not available.	##false@@false$$		||	NOUN: competitors; interiors; luxury car; Galant; use; plastics; silver; controls; Galant; terms; features; telescoping; wheel; auxiliary audio jack; stability control; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 4----Verdict----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	attempt:1 car:1 interior:1 ralliart:1 sporti:1 model:1 edg:1 grill:1 gener:1 chrome:1 renew:1 perform:1 taillight:1 lexu:1 flourish:1 version:1 galant:1 level:1 given:1 basic:1 interest:1 current:1 rather:1 year:1 trim:1 tone:1 mitsubishi:1 includ:1 stir:1 spoiler:1 redesign:1 theme:1 fill:1 rear:1 edit:1 sport:2 either:1 favor:1 ad:1 dub:1 ag:1 es:1 ago:1 gap:1	||	The Galant's age -- the current model generation was redesigned five years ago -- isn't doing the car any favors, either. In an attempt to stir up renewed interest, Mitsubishi has given the Galant a new, chrome-edged grille and Lexus-like taillights and added two new trim levels for 2009. Dubbed Sport Edition and Sport V6, these versions (which include two-tone interiors and sporty flourishes such as a rear spoiler) fill the gap between the rather basic ES and the performance-themed Ralliart.	##false@@false$$		||	ORGANIZATION: Mitsubishi; Ralliart; 	DATE: 2009; 	NOUN: Galant; age; model generation; years; car; favors; attempt; interest; Mitsubishi; Galant; grille; taillights; levels; Sport Edition; Sport V6; versions; interiors; flourishes; spoiler; gap; ES; Ralliart; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 5----Others----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	decent:1 face:1 edg:1 segment:1 fortun:1 rais:1 level:1 leader:1 trim:1 bono:1 want:1 ye:1 famili:2 choic:2 sport:1 true:1 much:1 orient:1 sedan:2 better:1 commut:1 lift:1 daili:1 world:1 go:2	||	The new face-lift and trim levels aren't going to raise the 2009 Galant's fortunes much. Yes, it's still a decent choice for a daily commuter or sport-oriented family sedan. But if you want a true segment leader, the Bonos and Edges of the family sedan world are going to be better choices.	##false@@false$$		||	DATE: 2009; 	NOUN: face-lift; levels; Galant; fortunes; choice; commuter; family sedan; segment leader; Bonos; Edges; family sedan world; choices; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 6----Exterior----#text.H2.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	bodi:1 level:1 style:1 trim:1 option:1	||	Body Styles, Trim Levels, and Options	##true@@false$$		||	ORGANIZATION: Trim Levels; 	NOUN: Body Styles; Levels; Options; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 7----Verdict----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	equip:1 interior:1 ralliart:3 player:1 exterior:1 midsiz:1 beig:1 heat:2 upgrad:1 level:2 seat:3 aluminum:1 power:2 leather:1 option:1 rockford:1 plu:1 control:3 mitsubishi:1 avail:1 fosgat:1 tune:1 pedal:1 alloi:2 system:3 sedan:1 sound:1 stitch:1 auto:1 air:1 cd:2 wheel:5 accessori:1 engin:1 navig:1 add:1 automat:1 six:2 mirror:2 dim:1 galant:3 style:1 full:1 side:1 sunroof:1 cruis:1 driver:1 accent:1 trim:3 brake:1 condit:1 rearview:1 inch:3 audio:2 tilt:1 speaker:1 larger:1 edit:2 sport:6 come:1 front:1 offer:1 steel:1 satellit:1 climat:1 suspens:1 mount:1 steer:2 similarli:1 featur:1 base:1 radio:1 enhanc:1 es:2 changer:1	||	The 2009 Mitsubishi Galant is a midsize sedan available in four trim levels: ES, Sport Edition, Sport V6 and Ralliart. The base ES comes with 16-inch steel wheels, air-conditioning, a tilt steering wheel, full power accessories, cruise control and a six-speaker sound system with a CD/MP3 player. The Sport Edition adds 17-inch alloy wheels, heated side mirrors, a sunroof, automatic climate control, steering-wheel-mounted audio controls, an auto-dimming rearview mirror, a power driver seat and heated front seats. The Sport V6 is equipped similarly but has a V6 engine and an upgraded Rockford Fosgate audio system with a six-CD changer and satellite radio. The Galant Ralliart trim level has the Sport Edition's features plus 18-inch alloy wheels, a sport-tuned suspension, larger brakes, exterior styling enhancements, leather seating, beige interior accent stitching and aluminum pedals. The Ralliart offers the option of a navigation system, the only Galant trim to do so.	##false@@false$$		||	ORGANIZATION: Mitsubishi Galant; Sport Edition; Ralliart; Sport Edition; Rockford Fosgate; Galant Ralliart; Ralliart; 	DATE: 2009; 	LOCATION: ES; 	NOUN: Mitsubishi Galant; sedan; levels; ES; Sport Edition; Sport V6; Ralliart; base ES; steel wheels; air-conditioning; tilt; wheel; power accessories; cruise control; sound system; CD\/MP3 player; Sport Edition; alloy wheels; side; sunroof; climate control; audio controls; rearview mirror; power driver seat; seats; Sport V6; V6 engine; Rockford Fosgate; system; changer; satellite radio; Galant Ralliart; level; Sport Edition; features; alloy wheels; suspension; brakes; exterior styling enhancements; leather seating; accent stitching; aluminum pedals; Ralliart; option; navigation system; Galant; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 8----DriveRide----#text.H2.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	powertrain:1 perform:1	||	Powertrains and Performance	##true@@false$$		||	NOUN: Powertrains; Performance; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 9----DriveRide----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	ralliart:1 hp:3 wheel:1 engin:2 line:1 torqu:2 automat:2 level:1 galant:1 drive:1 power:1 trio:1 ft:2 trim:1 inlin:1 liter:3 get:1 standard:1 speed:2 edit:1 sport:2 choic:1 feet:1 front:1 capabl:2 offer:1 manual:2 featur:1 match:1 lb:2 es:1 make:1 shift:2 pound:1	||	The front-wheel-drive Galant line offers a trio of engine choices. The ES and Sport Edition are powered by a 2.4-liter inline-4 engine that makes 160 hp and 157 pound-feet of torque. A four-speed automatic with manual shift capability is standard on both trim levels. The Sport V6 features a 3.8-liter V6 with 230 hp and 250 lb-ft matched to a five-speed automatic with manual shift capability. The Ralliart gets a 3.8-liter V6 with 258 hp and 258 lb-ft of torque.	##false@@false$$		||	ORGANIZATION: Sport Edition; Ralliart; 	NOUN: Galant line; trio; engine choices; ES; Sport Edition; inline-4 engine; hp; pound-feet; torque; shift capability; levels; Sport V6; V6; hp; shift capability; Ralliart; V6; hp; lb-ft; torque; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 10----DriveRide----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	mph:1 ralliart:2 put:1 mpg:6 second:1 test:1 camri:1 perform:1 pack:1 zero:1 highwai:2 toyota:1 went:1 cylind:1 estim:1 rang:1 malibu:1 combin:2 power:1 fuel:1 along:1 trim:1 head:1 chevi:1 economi:1 altima:1 nissan:1 citi:2	||	In performance testing, the Ralliart went from zero to 60 mph in 6.5 seconds -- putting it at the head of the pack along with the V6-powered Toyota Camry, Chevy Malibu and Nissan Altima. Fuel economy estimates range from 20 mpg city/27 mpg highway and 23 mpg combined for the four-cylinder trims down to 17 mpg city/25 mpg highway and 20 mpg combined for the Ralliart.	##false@@false$$		||	ORGANIZATION: Ralliart; Toyota Camry; Nissan Altima; Ralliart; 	LOCATION: Chevy Malibu; 	NOUN: performance testing; Ralliart; mph; seconds; head; pack; Toyota Camry; Chevy Malibu; Nissan Altima; Fuel economy; range; mpg city\/27 mpg highway; mpg; trims; mpg; mpg highway; mpg; Ralliart; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 11----Safety----#text.H2.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	safeti:1	||	Safety	##true@@false$$		||	NOUN: Safety; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 12----Safety----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	control:2 ralliart:1 traction:1 come:2 front:1 offer:1 stabil:1 disc:1 curtain:1 airbag:2 galant:2 side:2 full:1 unlik:1 length:1 competitor:1 antilock:1 brake:1	||	All Galants come with antilock disc brakes, front side airbags and full-length side-curtain airbags. The Ralliart comes with traction control. Unlike most of its competitors, the Galant does not offer stability control.	##false@@false$$		||	ORGANIZATION: Ralliart; 	NOUN: Galants; disc brakes; side airbags; airbags; Ralliart; traction control; competitors; Galant; stability control; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 13----Safety----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	result:1 test:2 highest:1 overal:1 possibl:1 good:1 highwai:2 protect:1 impact:2 conduct:1 rate:2 galant:1 frontal:2 side:2 insur:1 administr:1 offset:1 institut:1 crash:2 mitsubishi:1 safeti:2 star:1 nation:1 traffic:1 impress:1 occup:1 earn:1	||	In National Highway Traffic Safety Administration crash tests, the 2009 Mitsubishi Galant earned an impressive five out of five-star rating for its protection of occupants in both frontal and side impacts. Frontal-offset and side-impact crash testing conducted by the Insurance Institute for Highway Safety resulted in the highest possible overall rating of "Good."	##false@@false$$		||	ORGANIZATION: National Highway Traffic Safety Administration; Mitsubishi; Insurance Institute for Highway Safety; 	DATE: 2009; 	NOUN: National Highway Traffic Safety Administration crash tests; Mitsubishi Galant; rating; protection; occupants; impacts; Frontal-offset; crash testing; Insurance Institute; Highway Safety; rating; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 14----Interior----#text.H2.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	interior:1 featur:1 special:1 design:1	||	Interior Design and Special Features	##true@@false$$		||	ORGANIZATION: Interior Design and Special Features; 	NOUN: Interior Design; Features; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 15----Interior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	interior:1 cabin:1 face:1 plastic:1 typic:1 gaug:1 center:2 galant:1 easi:1 metal:1 stylish:1 contemporari:1 accent:1 displai:1 trait:1 look:1 work:1 feel:1 control:1 screen:1 mitsubishi:1 locat:1 cascad:1 unfortun:1 white:1 qualiti:1 suffer:1 refin:1 us:1 subpar:1 main:1 climat:1 conjunct:1 surfac:1 system:1 backlight:1 blue:1 materi:1 larg:1 stereo:1 match:1 competitor:1 stack:2	||	With a cascading center stack, blue backlighting, white-faced gauges and metallic accents, the Galant's cabin is stylish in a contemporary way. Large controls for the climate and stereo systems are easy to use, and work in conjunction with a display screen located high on the center stack. Unfortunately, the Galant suffers from the typical Mitsubishi trait of some subpar interior materials quality. Most plastics and other surfaces just don't match the refined look and feel of the Galant's main competitors.	##false@@false$$		||	ORGANIZATION: Mitsubishi; 	NOUN: center; backlighting; accents; Galant; cabin; way; controls; climate; stereo systems; work; conjunction; display screen; center; Galant; Mitsubishi trait; materials quality; plastics; surfaces; look; feel; Galant; competitors; 	||	##true@@false$$	||	##false@@false$$
1701897961 0 16----Interior----#text.P.DIV.DIV.DIV.DIV.DIV.DIV.DIV.DIV.BODY.HTML.#document	ralliart:1 wish:1 roomi:1 mai:1 softli:1 open:1 although:1 firmer:1 seat:2 upsid:1 ski:1 support:1 folk:1 cubic:1 rear:2 cushion:1 feet:1 front:1 suppli:1 competit:1 wide:1 fold:1 pass:1 trunk:1 capac:1 cube:1	||	On the upside, seating front and rear is roomy and softly cushioned. Some folks may wish for firmer support, which the Ralliart supplies. Trunk capacity, at 13.3 cubic feet, is about one or two cubes less than the competition, but the opening is wide. And although there is a ski pass-through, the rear seats do not fold down.	##false@@false$$		||	ORGANIZATION: Ralliart; 	NOUN: upside; front; rear; folks; support; Ralliart supplies; Trunk capacity; feet; cubes; competition; opening; ski; seats; 	||	##true@@false$$	||	##false@@false$$
